,Pclass,SibSp,Parch,Age_true,AgeGroup,FareGroup,CabinLvl,Embarked_C,Embarked_Q,Embarked_S,Title_Master,Title_Mr,Title_Mrs,Title_Ms,Title_Noble,Survived
445,1,0,2,1,0,4,7,0,0,1,1,0,0,0,0,1
650,3,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0
172,3,1,1,1,0,2,0,0,0,1,0,0,0,1,0,1
450,2,1,2,1,4,3,0,0,0,1,0,1,0,0,0,0
314,2,1,1,1,4,3,0,0,0,1,0,1,0,0,0,0
332,1,0,1,1,4,5,5,0,0,1,0,1,0,0,0,0
801,2,1,1,1,3,3,0,0,0,1,0,0,1,0,0,1
90,3,0,0,1,3,1,0,0,0,1,0,1,0,0,0,0
834,3,0,0,1,2,1,0,0,0,1,0,1,0,0,0,0
181,2,0,0,0,3,2,0,1,0,0,0,1,0,0,0,0
581,1,1,1,1,4,5,5,1,0,0,0,0,1,0,0,1
795,2,0,0,1,4,2,0,0,0,1,0,1,0,0,0,0
69,3,2,0,1,3,1,0,0,0,1,0,1,0,0,0,0
131,3,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0
334,1,1,0,0,4,5,0,0,0,1,0,0,1,0,0,1
597,3,0,0,1,4,0,0,0,0,1,0,1,0,0,0,0
135,2,0,0,1,2,2,0,1,0,0,0,1,0,0,0,0
164,3,4,1,1,0,3,0,0,0,1,1,0,0,0,0,0
28,3,0,0,0,2,1,0,0,1,0,0,0,0,1,0,1
783,3,1,2,0,3,3,0,0,0,1,0,1,0,0,0,0
193,2,1,1,1,0,3,2,0,0,1,1,0,0,0,0,1
869,3,1,1,1,0,2,0,0,0,1,1,0,0,0,0,1
715,3,0,0,1,2,0,2,0,0,1,0,1,0,0,0,0
525,3,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0
381,3,0,2,1,0,2,0,1,0,0,0,0,0,1,0,1
140,3,0,2,0,4,2,0,1,0,0,0,0,1,0,0,0
173,3,0,0,1,2,1,0,0,0,1,0,1,0,0,0,0
6,1,0,0,1,5,4,3,0,0,1,0,1,0,0,0,0
718,3,0,0,0,3,2,0,0,1,0,0,1,0,0,0,0
685,2,1,2,1,3,4,0,1,0,0,0,1,0,0,0,0
73,3,1,0,1,3,2,0,1,0,0,0,1,0,0,0,0
882,3,0,0,1,2,2,0,0,0,1,0,0,0,1,0,0
328,3,1,1,1,3,2,0,0,0,1,0,0,1,0,0,1
453,1,1,0,1,4,4,5,1,0,0,0,1,0,0,0,1
145,2,1,1,1,2,3,0,0,0,1,0,1,0,0,0,0
234,2,0,0,1,2,1,0,0,0,1,0,1,0,0,0,0
220,3,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1
370,1,1,0,1,3,4,3,1,0,0,0,1,0,0,0,1
811,3,0,0,1,4,3,0,0,0,1,0,1,0,0,0,0
132,3,1,0,1,4,2,0,0,0,1,0,0,1,0,0,0
694,1,0,0,1,5,3,0,0,0,1,0,0,0,0,1,0
864,2,0,0,1,2,2,0,0,0,1,0,1,0,0,0,0
185,1,0,0,0,3,4,7,0,0,1,0,1,0,0,0,0
41,2,1,0,1,3,2,0,0,0,1,0,0,1,0,0,0
547,2,0,0,0,3,2,0,1,0,0,0,1,0,0,0,1
108,3,0,0,1,4,1,0,0,0,1,0,1,0,0,0,0
603,3,0,0,1,4,1,0,0,0,1,0,1,0,0,0,0
56,2,0,0,1,2,1,0,0,0,1,0,0,0,1,0,1
394,3,0,2,1,2,2,1,0,0,1,0,0,1,0,0,1
706,2,0,0,1,4,2,0,0,0,1,0,0,1,0,0,1
549,2,1,1,1,0,3,0,0,0,1,1,0,0,0,0,1
24,3,3,1,1,0,2,0,0,0,1,0,0,0,1,0,0
351,1,0,0,0,3,3,5,0,0,1,0,1,0,0,0,0
429,3,0,0,1,3,1,3,0,0,1,0,1,0,0,0,1
434,1,1,0,1,5,4,3,0,0,1,0,1,0,0,0,0
51,3,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0
526,2,0,0,1,5,1,0,0,0,1,0,0,0,1,0,1
816,3,0,0,1,2,1,0,0,0,1,0,0,0,1,0,0
569,3,0,0,1,3,1,0,0,0,1,0,1,0,0,0,1
264,3,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0
436,3,2,2,1,2,3,0,0,0,1,0,0,0,1,0,0
613,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0
693,3,0,0,1,3,0,0,1,0,0,0,1,0,0,0,0
352,3,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0
18,3,1,0,1,3,2,0,0,0,1,0,0,1,0,0,0
666,2,0,0,1,3,2,0,0,0,1,0,1,0,0,0,0
582,2,0,0,1,5,3,0,0,0,1,0,1,0,0,0,0
83,1,0,0,1,3,4,0,0,0,1,0,1,0,0,0,0
61,1,0,0,1,4,4,6,0,0,1,0,0,0,1,0,1
272,2,0,1,1,4,2,0,0,0,1,0,0,1,0,0,1
285,3,0,0,1,3,1,0,1,0,0,0,1,0,0,0,0
695,2,0,0,1,5,2,0,0,0,1,0,1,0,0,0,0
746,3,1,1,1,1,2,0,0,0,1,0,1,0,0,0,0
12,3,0,0,1,2,1,0,0,0,1,0,1,0,0,0,0
182,3,4,2,1,0,3,0,0,0,1,1,0,0,0,0,0
444,3,0,0,0,3,1,0,0,0,1,0,1,0,0,0,1
552,3,0,0,0,3,1,0,0,1,0,0,1,0,0,0,0
223,3,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0
513,1,1,0,1,5,4,0,1,0,0,0,0,1,0,0,1
628,3,0,0,1,3,1,0,0,0,1,0,1,0,0,0,0
587,1,1,1,1,5,4,6,1,0,0,0,1,0,0,0,1
692,3,0,0,0,3,4,0,0,0,1,0,1,0,0,0,1
523,1,0,1,1,4,4,6,1,0,0,0,0,1,0,0,1
664,3,1,0,1,2,1,0,0,0,1,0,1,0,0,0,1
176,3,3,1,0,0,3,0,0,0,1,1,0,0,0,0,0
841,2,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0
678,3,1,6,1,4,4,0,0,0,1,0,0,1,0,0,0
163,3,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0
248,1,1,1,1,4,4,4,0,0,1,0,1,0,0,0,1
570,2,0,0,1,5,1,0,0,0,1,0,1,0,0,0,1
787,3,4,1,1,0,3,0,0,1,0,1,0,0,0,0,0
74,3,0,0,1,3,4,0,0,0,1,0,1,0,0,0,1
113,3,1,0,1,2,1,0,0,0,1,0,0,0,1,0,0
635,2,0,0,1,3,2,0,0,0,1,0,0,0,1,0,1
501,3,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0
104,3,2,0,1,4,1,0,0,0,1,0,1,0,0,0,0
114,3,0,0,1,1,2,0,1,0,0,0,0,0,1,0,0
368,3,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1
92,1,1,0,1,4,4,3,0,0,1,0,1,0,0,0,0
497,3,0,0,0,3,2,0,0,0,1,0,1,0,0,0,0
89,3,0,0,1,2,1,0,0,0,1,0,1,0,0,0,0
336,1,1,0,1,3,4,5,0,0,1,0,1,0,0,0,0
879,1,0,1,1,5,4,5,1,0,0,0,0,1,0,0,1
817,2,1,1,1,3,3,0,1,0,0,0,1,0,0,0,0
828,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,1
543,2,1,0,1,3,3,0,0,0,1,0,1,0,0,0,1
548,3,1,1,1,3,2,0,0,0,1,0,1,0,0,0,0
94,3,0,0,1,5,0,0,0,0,1,0,1,0,0,0,0
11,1,0,0,1,5,3,5,0,0,1,0,0,0,1,0,1
431,3,1,0,0,4,2,0,0,0,1,0,0,1,0,0,1
43,2,1,2,1,0,4,0,1,0,0,0,0,0,1,0,1
42,3,0,0,0,3,1,0,1,0,0,0,1,0,0,0,0
329,1,0,1,1,1,4,6,1,0,0,0,0,0,1,0,1
167,3,1,4,1,4,3,0,0,0,1,0,0,1,0,0,0
779,1,0,1,1,4,5,6,0,0,1,0,0,1,0,0,1
537,1,0,0,1,3,5,0,1,0,0,0,0,0,1,0,1
735,3,0,0,0,3,2,0,0,0,1,0,1,0,0,0,0
499,3,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0
178,2,0,0,1,3,2,0,0,0,1,0,1,0,0,0,0
583,1,0,0,1,4,3,7,1,0,0,0,1,0,0,0,0
784,3,0,0,1,3,0,0,0,0,1,0,1,0,0,0,0
593,3,0,2,0,2,0,0,0,1,0,0,0,0,1,0,0
177,1,0,0,1,5,3,5,1,0,0,0,0,0,1,0,0
644,3,2,1,1,0,2,0,1,0,0,0,0,0,1,0,1
710,1,0,0,1,2,4,5,1,0,0,0,0,0,1,0,1
615,2,1,2,1,2,4,0,0,0,1,0,0,0,1,0,1
383,1,1,0,1,4,4,0,0,0,1,0,0,1,0,0,1
257,1,0,0,1,3,4,6,0,0,1,0,0,0,1,0,1
734,2,0,0,1,2,2,0,0,0,1,0,1,0,0,0,0
335,3,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0
551,2,0,0,1,3,3,0,0,0,1,0,1,0,0,0,0
15,2,0,0,1,5,2,0,0,0,1,0,0,1,0,0,1
3,1,1,0,1,4,4,5,0,0,1,0,0,1,0,0,1
411,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0
256,1,0,0,0,4,4,0,1,0,0,0,0,1,0,0,1
451,3,1,0,0,3,2,0,0,0,1,0,1,0,0,0,0
473,2,0,0,1,2,2,4,1,0,0,0,0,1,0,0,1
697,3,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1
393,1,1,0,1,2,5,4,1,0,0,0,0,0,1,0,1
222,3,0,0,1,5,1,0,0,0,1,0,1,0,0,0,0
506,2,0,2,1,3,3,0,0,0,1,0,0,1,0,0,1
567,3,0,4,1,3,2,0,0,0,1,0,0,1,0,0,0
420,3,0,0,0,3,1,0,1,0,0,0,1,0,0,0,0
324,3,8,2,0,3,4,0,0,0,1,0,1,0,0,0,0
530,2,1,1,1,0,3,0,0,0,1,0,0,0,1,0,1
9,2,1,0,1,1,3,0,1,0,0,0,0,1,0,0,1
249,2,1,0,1,5,3,0,0,0,1,0,0,0,0,1,0
22,3,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1
356,1,0,1,1,2,4,3,0,0,1,0,0,0,1,0,1
221,2,0,0,1,3,2,0,0,0,1,0,1,0,0,0,0
601,3,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0
766,1,0,0,0,4,3,0,1,0,0,0,0,0,0,1,0
874,2,1,0,1,3,3,0,1,0,0,0,0,1,0,0,1
528,3,0,0,1,4,1,0,0,0,1,0,1,0,0,0,0
340,2,1,1,1,0,3,2,0,0,1,1,0,0,0,0,1
743,3,1,0,1,2,2,0,0,0,1,0,1,0,0,0,0
519,3,0,0,1,3,1,0,0,0,1,0,1,0,0,0,0
203,3,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0
237,2,0,2,1,0,3,0,0,0,1,0,0,0,1,0,1
93,3,1,2,1,3,2,0,0,0,1,0,1,0,0,0,0
730,1,0,0,1,3,5,6,0,0,1,0,0,0,1,0,1
440,2,1,1,1,4,3,0,0,0,1,0,0,1,0,0,1
559,3,1,0,1,4,2,0,0,0,1,0,0,1,0,0,1
284,1,0,0,0,3,3,7,0,0,1,0,1,0,0,0,0
184,3,0,2,1,0,2,0,0,0,1,0,0,0,1,0,1
791,2,0,0,1,1,3,0,0,0,1,0,1,0,0,0,0
487,1,0,0,1,5,3,6,1,0,0,0,1,0,0,0,0
153,3,0,2,0,4,2,0,0,0,1,0,1,0,0,0,0
75,3,0,0,1,3,0,2,0,0,1,0,1,0,0,0,0
656,3,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0
631,3,0,0,1,5,0,0,0,0,1,0,1,0,0,0,0
277,2,0,0,0,3,2,0,0,0,1,0,1,0,0,0,0
68,3,4,2,1,1,1,0,0,0,1,0,0,0,1,0,1
825,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0
188,3,1,1,1,4,2,0,0,1,0,0,1,0,0,0,0
271,3,0,0,1,3,0,0,0,0,1,0,1,0,0,0,1
662,1,0,0,1,4,3,3,0,0,1,0,1,0,0,0,0
711,1,0,0,0,3,3,5,0,0,1,0,1,0,0,0,0
236,2,1,0,1,4,3,0,0,0,1,0,1,0,0,0,0
88,1,3,2,1,2,5,5,0,0,1,0,0,0,1,0,1
757,2,0,0,1,2,2,0,0,0,1,0,1,0,0,0,0
117,2,1,0,1,3,2,0,0,0,1,0,1,0,0,0,0
125,3,1,0,1,1,2,0,1,0,0,1,0,0,0,0,1
731,3,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0
289,3,0,0,1,2,0,0,0,1,0,0,0,0,1,0,1
238,2,0,0,1,2,1,0,0,0,1,0,1,0,0,0,0
0,3,1,0,1,2,0,0,0,0,1,0,1,0,0,0,0
881,3,0,0,1,3,1,0,0,0,1,0,1,0,0,0,0
467,1,0,0,1,5,3,0,0,0,1,0,1,0,0,0,0
827,2,0,2,1,0,3,0,1,0,0,1,0,0,0,0,1
395,3,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0
531,3,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0
126,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0
278,3,4,1,1,0,3,0,0,1,0,1,0,0,0,0,0
691,3,0,1,1,0,2,0,1,0,0,0,0,0,1,0,1
116,3,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0
228,2,0,0,1,2,2,0,0,0,1,0,1,0,0,0,0
622,3,1,1,1,2,2,0,1,0,0,0,1,0,0,0,1
655,2,2,0,1,2,4,0,0,0,1,0,1,0,0,0,0
598,3,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0
516,2,0,0,1,3,1,2,0,0,1,0,0,1,0,0,1
274,3,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1
318,1,0,2,1,3,5,5,0,0,1,0,0,0,1,0,1
606,3,0,0,1,3,1,0,0,0,1,0,1,0,0,0,0
144,2,0,0,1,2,2,0,0,0,1,0,1,0,0,0,0
634,3,3,2,1,0,3,0,0,0,1,0,0,0,1,0,0
558,1,1,1,1,4,4,3,0,0,1,0,0,1,0,0,1
809,1,1,0,1,3,4,3,0,0,1,0,0,1,0,0,1
745,1,1,1,1,5,4,6,0,0,1,0,0,0,0,1,0
369,1,0,0,1,2,4,6,1,0,0,0,0,1,0,0,1
268,1,0,1,1,5,5,5,0,0,1,0,0,1,0,0,1
623,3,0,0,1,2,1,0,0,0,1,0,1,0,0,0,0
307,1,1,0,1,1,5,5,1,0,0,0,0,1,0,0,1
423,3,1,1,1,3,2,0,0,0,1,0,0,1,0,0,0
310,1,0,0,1,2,4,5,1,0,0,0,0,0,1,0,1
354,3,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0
46,3,1,0,0,3,2,0,0,1,0,0,1,0,0,0,0
349,3,0,0,1,4,1,0,0,0,1,0,1,0,0,0,0
371,3,1,0,1,2,0,0,0,0,1,0,1,0,0,0,0
479,3,0,1,1,0,2,0,0,0,1,0,0,0,1,0,1
576,2,0,0,1,3,2,0,0,0,1,0,0,0,1,0,1
261,3,4,2,1,0,3,0,0,0,1,1,0,0,0,0,1
195,1,0,0,1,5,5,6,1,0,0,0,0,0,1,0,1
890,3,0,0,1,3,0,0,0,1,0,0,1,0,0,0,0
744,3,0,0,1,3,1,0,0,0,1,0,1,0,0,0,1
107,3,0,0,0,3,0,0,0,0,1,0,1,0,0,0,1
866,2,1,0,1,3,2,0,1,0,0,0,0,0,1,0,1
59,3,5,2,1,0,4,0,0,0,1,1,0,0,0,0,0
658,2,0,0,1,2,2,0,0,0,1,0,1,0,0,0,0
263,1,0,0,1,4,4,6,0,0,1,0,1,0,0,0,0
568,3,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0
100,3,0,0,1,3,1,0,0,0,1,0,0,0,1,0,0
443,2,0,0,1,3,2,0,0,0,1,0,0,0,1,0,1
490,3,1,0,0,3,2,0,0,0,1,0,1,0,0,0,0
687,3,0,0,1,2,1,0,0,0,1,0,1,0,0,0,0
799,3,1,1,1,3,3,0,0,0,1,0,0,1,0,0,0
640,3,0,0,1,2,1,0,0,0,1,0,1,0,0,0,0
169,3,0,0,1,3,4,0,0,0,1,0,1,0,0,0,0
179,3,0,0,1,4,0,0,0,0,1,0,1,0,0,0,0
304,3,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0
341,1,3,2,1,2,5,5,0,0,1,0,0,0,1,0,1
57,3,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0
858,3,0,3,1,2,2,0,1,0,0,0,0,1,0,0,1
149,2,0,0,1,4,2,0,0,0,1,0,0,0,0,1,0
124,1,0,1,1,5,4,4,0,0,1,0,1,0,0,0,0
703,3,0,0,1,3,0,0,0,1,0,0,1,0,0,0,0
50,3,4,1,1,0,3,0,0,0,1,1,0,0,0,0,0
353,3,1,0,1,3,2,0,0,0,1,0,1,0,0,0,0
823,3,0,1,1,3,2,3,0,0,1,0,0,1,0,0,1
142,3,1,0,1,2,2,0,0,0,1,0,0,1,0,0,1
470,3,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0
399,2,0,0,1,3,2,0,0,0,1,0,0,1,0,0,1
575,3,0,0,1,2,2,0,0,0,1,0,1,0,0,0,0
320,3,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0
19,3,0,0,0,4,0,0,1,0,0,0,0,1,0,0,1
792,3,8,2,0,2,4,0,0,0,1,0,0,0,1,0,0
707,1,0,0,1,4,3,3,0,0,1,0,1,0,0,0,1
723,2,0,0,1,5,2,0,0,0,1,0,1,0,0,0,0
407,2,1,1,1,0,2,0,0,0,1,1,0,0,0,0,1
557,1,0,0,0,3,5,0,1,0,0,0,1,0,0,0,0
38,3,2,0,1,2,2,0,0,0,1,0,0,0,1,0,0
175,3,1,1,1,2,1,0,0,0,1,0,1,0,0,0,0
245,1,2,0,1,4,4,5,0,1,0,0,0,0,0,1,0
740,1,0,0,0,3,3,4,0,0,1,0,1,0,0,0,1
602,1,0,0,0,3,4,0,0,0,1,0,1,0,0,0,0
768,3,1,0,0,3,3,0,0,1,0,0,1,0,0,0,0
764,3,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
154,3,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0
287,3,0,0,1,2,1,0,0,0,1,0,1,0,0,0,0
750,2,1,1,1,0,2,0,0,0,1,0,0,0,1,0,1
17,2,0,0,0,3,2,0,0,0,1,0,1,0,0,0,1
127,3,0,0,1,2,0,0,0,0,1,0,1,0,0,0,1
322,2,0,0,1,3,2,0,0,1,0,0,0,0,1,0,1
255,3,0,2,1,3,2,0,1,0,0,0,0,1,0,0,1
770,3,0,0,1,2,1,0,0,0,1,0,1,0,0,0,0
856,1,1,1,1,4,5,0,0,0,1,0,0,1,0,0,1
190,2,0,0,1,3,2,0,0,0,1,0,0,1,0,0,1
115,3,0,0,1,2,1,0,0,0,1,0,1,0,0,0,0
737,1,0,0,1,4,5,6,1,0,0,0,1,0,0,0,1
180,3,8,2,0,2,4,0,0,0,1,0,0,0,1,0,0
301,3,2,0,0,3,3,0,0,1,0,0,1,0,0,0,1
679,1,0,1,1,4,5,6,1,0,0,0,1,0,0,0,1
638,3,0,5,1,4,3,0,0,0,1,0,0,1,0,0,0
649,3,0,0,1,2,0,0,0,0,1,0,0,0,1,0,1
616,3,1,1,1,3,2,0,0,0,1,0,1,0,0,0,0
596,2,0,0,0,2,3,0,0,0,1,0,0,0,1,0,1
517,3,0,0,0,3,3,0,0,1,0,0,1,0,0,0,0
875,3,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1
45,3,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0
807,3,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0
157,3,0,0,1,3,1,0,0,0,1,0,1,0,0,0,0
665,2,2,0,1,3,4,0,0,0,1,0,1,0,0,0,0
171,3,4,1,1,0,3,0,0,1,0,1,0,0,0,0,0
16,3,4,1,1,0,3,0,0,1,0,1,0,0,0,0,0
511,3,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0
48,3,2,0,0,3,2,0,1,0,0,0,1,0,0,0,0
862,1,0,0,1,4,3,4,0,0,1,0,0,1,0,0,1
749,3,0,0,1,3,0,0,0,1,0,0,1,0,0,0,0
515,1,0,0,1,4,3,4,0,0,1,0,1,0,0,0,0
617,3,1,0,1,3,2,0,0,0,1,0,0,1,0,0,0
480,3,5,2,1,0,4,0,0,0,1,1,0,0,0,0,0
283,3,0,0,1,2,1,0,0,0,1,0,1,0,0,0,1
589,3,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0
225,3,0,0,1,2,1,0,0,0,1,0,1,0,0,0,0
26,3,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0
848,2,0,1,1,3,3,0,0,0,1,0,0,0,0,1,0
437,2,2,3,1,2,2,0,0,0,1,0,0,1,0,0,1
844,3,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0
364,3,1,0,0,3,2,0,0,1,0,0,1,0,0,0,0
